storeID,locationName,city,state,review_count,avg_rating,pct_1_2,pct_5,earliest_review_date,latest_review_date
114,MacArthur,Irving,TX,1688,4.125,11.91,53.79,2011-02-21 18:38:01.625000+00:00,2026-02-15 18:44:03.947000+00:00
230,West Grand,Katy,TX,1630,4.208,10.18,57.42,2011-02-21 18:41:27.977000+00:00,2026-02-16 22:47:11.972000+00:00
226,Clearlake,Webster,TX,1590,4.336,9.37,64.09,2011-02-21 18:46:16.698000+00:00,2026-02-13 18:45:33.410000+00:00
195,Uptown,Albuquerque,NM,1521,4.084,13.35,54.11,2018-02-19 18:38:01.775000+00:00,2025-12-19 18:37:56.128000+00:00
217,Arboretum,Austin,TX,1480,4.255,8.11,56.49,2011-02-21 18:42:18.529000+00:00,2026-02-15 18:45:56.115000+00:00
202,Huebner Oaks,San Antonio,TX,1446,4.209,11.55,59.96,2012-02-21 18:40:21.970000+00:00,2026-02-15 18:45:36.479000+00:00
222,Carillon,Houston,TX,1441,4.295,9.09,61.14,2012-02-21 18:43:14.999000+00:00,2026-02-16 18:53:21.820000+00:00
235,Crossroads,Houston,TX,1312,4.259,10.06,58.99,2011-02-21 18:47:07.791000+00:00,2026-02-11 18:49:41.178000+00:00
224,First Colony,Sugarland,TX,1282,4.215,11.31,58.58,2011-02-21 18:40:14.693000+00:00,2026-02-13 18:41:24.591000+00:00
231,Parkway Village,Houston,TX,1215,4.373,6.17,62.06,2014-02-20 18:44:16.157000+00:00,2026-02-12 18:49:44.983000+00:00
219,Lakeline,Austin,TX,1210,4.084,14.05,52.81,2015-02-20 18:47:11.467000+00:00,2026-02-16 18:39:30.528000+00:00
247,The Met,Chandler,AZ,1190,4.314,8.24,61.93,2018-02-19 18:45:39.619000+00:00,2026-02-10 18:40:22.588000+00:00
204,Park North,San Antonio,TX,1089,4.271,10.84,61.98,2012-02-21 18:46:53.159000+00:00,2026-02-15 18:44:03.689000+00:00
174,Presidio Junction,Ft. Worth,TX,1089,3.882,19.65,49.95,2015-02-20 18:41:45.720000+00:00,2026-02-15 18:41:52.119000+00:00
207,The Forum,Live Oak,TX,1063,4.203,12.5,60.81,2018-02-19 18:44:22.992000+00:00,2026-02-03 18:44:49.410000+00:00
1,Mockingbird,Dallas,TX,1062,4.25,10.17,60.17,2012-02-21 18:44:39.759000+00:00,2026-02-16 18:43:19.908000+00:00
206,Tulsa Hills,Tulsa,OK,1026,4.281,10.43,62.96,2018-02-19 18:39:20.100000+00:00,2026-01-20 18:42:18.068000+00:00
53,South Arlington,Arlington,TX,966,4.108,14.08,56.73,2012-02-21 18:44:45.818000+00:00,2026-01-18 18:40:42.818000+00:00
106,Coit & Campbell,Richardson,TX,966,4.01,15.62,51.4,2011-02-21 18:50:16.499000+00:00,2026-02-03 18:39:47.918000+00:00
221,Champions,Houston,TX,955,4.332,8.9,63.46,2012-02-21 18:40:33.316000+00:00,2026-02-17 00:45:20.763000+00:00
203,Northwoods,San Antonio,TX,940,4.243,11.49,60.53,2014-02-20 18:40:15.225000+00:00,2026-02-16 18:38:00.963000+00:00
229,Town & Country,Houston,TX,940,4.234,11.17,61.06,2013-02-20 18:44:19.359000+00:00,2026-02-12 18:39:12.568000+00:00
250,Tierra Del Este,El Paso,TX,884,4.448,7.24,70.7,2020-02-19 18:38:42.739000+00:00,2026-02-14 18:46:49.159000+00:00
154,Downtown Crown,Gaithersburg,MD,818,3.954,16.73,51.16,2016-02-20 18:43:08.080000+00:00,2026-02-03 18:43:10.728000+00:00
9,Preston Forest,Dallas,TX,734,3.997,17.17,53.27,2014-02-20 18:41:32.629000+00:00,2026-02-16 18:47:00.912000+00:00
253,Montfort,Dallas,TX,570,3.605,27.54,44.39,2015-02-20 18:48:48.130000+00:00,2026-02-03 18:46:35.374000+00:00
243,Shops at Martial,Lafayette,LA,556,4.372,8.27,65.29,2015-02-20 18:39:12.094000+00:00,2026-02-16 19:39:22.790000+00:00
211,Spring,Spring,TX,497,4.109,15.49,61.37,2020-02-19 18:39:15.529000+00:00,2026-02-12 18:42:09.016000+00:00
240,Perkins Rowe,Baton Rouge,LA,475,3.977,18.53,54.53,2011-02-21 18:41:37.791000+00:00,2026-02-15 18:44:20.273000+00:00
14,Midway,Dallas,TX,398,3.997,16.83,56.28,2015-02-20 18:40:47.905000+00:00,2026-02-16 18:49:34.188000+00:00
52,San Jacinto,Dallas,TX,131,4.092,10.69,50.38,2011-02-21 18:43:17.598000+00:00,2025-12-19 18:39:40.400000+00:00
252,Park District - Petite Market & Bakery,Dallas,TX,65,3.8,21.54,53.85,2021-02-18 18:40:24.756000+00:00,2026-02-15 18:45:46.434000+00:00
